montant,heure,frequence_7j,anciennete_jours,type_contrepartie,fraude
3423.0,23,2,837,particulier,0
33158.0,12,11,603,marchand,0
7297.0,17,6,2031,marchand,0
26857.0,21,3,1853,agent,1
1919.0,23,2,125,particulier,0
14744.0,9,8,471,marchand,0
1309.0,21,3,1830,particulier,0
28816.0,15,11,2042,marchand,0
10858.0,15,6,50,marchand,0
1295.0,19,3,1808,facture,0
4408.0,10,2,859,agent,0
9303.0,20,4,452,particulier,0
13054.0,14,4,720,marchand,0
9290.0,16,7,1677,marchand,0
4783.0,8,5,397,particulier,0
23297.0,9,2,2218,marchand,0
27212.0,11,3,2157,marchand,0
10872.0,19,1,2259,particulier,0
616.0,15,5,1595,particulier,0
4310.0,10,3,666,agent,0
4665.0,20,7,2221,particulier,0
5318.0,18,6,1388,particulier,0
13509.0,19,4,711,particulier,0
10484.0,7,1,814,particulier,0
2589.0,7,2,1156,agent,0
31051.0,13,12,1815,marchand,0
8067.0,15,10,1252,marchand,0
2548.0,20,6,290,particulier,0
6662.0,15,6,351,marchand,0
20507.0,9,10,233,marchand,0
10336.0,11,10,797,marchand,0
4656.0,18,2,330,agent,0
31992.0,7,2,219,marchand,0
1401.0,18,1,650,particulier,0
40979.0,9,1,1235,agent,1
2538.0,14,5,1313,marchand,1
8590.0,13,7,938,marchand,0
2627.0,23,7,355,particulier,0
7943.0,11,6,1557,marchand,0
21129.0,12,5,2187,marchand,0
7789.0,17,4,1408,marchand,0
20815.0,15,4,1442,marchand,0
2766.0,18,7,1188,particulier,0
26445.0,11,7,2324,marchand,0
3228.0,19,4,2359,particulier,0
16608.0,18,3,1165,marchand,0
1235.0,20,7,54,agent,0
1563.0,11,5,927,facture,0
26981.0,16,5,1722,marchand,0
7303.0,12,15,687,marchand,0
14807.0,14,12,1220,marchand,0
3783.0,13,1,2231,particulier,0
4102.0,19,1,652,agent,0
43113.0,10,5,612,marchand,0
30670.0,8,6,1702,marchand,0
1405.0,23,4,603,particulier,0
2929.0,19,3,1037,particulier,0
4261.0,9,2,306,agent,0
2964.0,23,3,2282,particulier,0
5995.0,23,6,374,agent,0
5372.0,20,2,660,agent,0
87726.0,17,4,1368,marchand,0
27369.0,13,11,1519,marchand,0
23277.0,14,7,52,marchand,0
10748.0,14,8,821,marchand,0
3342.0,18,1,2229,particulier,0
2810.0,15,3,794,particulier,0
1350.0,20,4,763,particulier,0
3789.0,23,1,257,agent,0
1485.0,10,4,726,particulier,0
3727.0,15,6,2020,marchand,0
2205.0,7,2,2126,particulier,0
1169.0,8,2,1405,facture,0
22961.0,20,0,709,agent,0
6363.0,21,2,803,agent,0
2125.0,4,1,214,particulier,0
28036.0,7,5,790,agent,1
4065.0,10,0,1457,particulier,0
13390.0,23,2,728,particulier,0
23191.0,14,5,945,marchand,0
16730.0,11,1,2046,marchand,0
6887.0,19,4,1759,particulier,0
1344.0,7,1,2083,agent,0
3694.0,11,2,2163,facture,0
6680.0,20,2,1356,particulier,0
4920.0,12,1,208,particulier,0
768.0,23,6,2226,particulier,0
3264.0,21,4,85,agent,0
4032.0,7,0,1652,particulier,0
17325.0,14,8,93,marchand,0
2203.0,18,2,979,particulier,0
24255.0,15,11,1320,marchand,0
2722.0,11,3,1044,particulier,0
24313.0,11,12,1658,marchand,0
27838.0,11,7,2010,marchand,0
7670.0,11,2,1756,particulier,0
3039.0,19,3,596,particulier,0
15639.0,15,10,1557,marchand,0
8608.0,17,6,2204,facture,0
2412.0,8,1,285,agent,0
9725.0,16,6,214,marchand,0
2499.0,10,3,805,particulier,0
2025.0,23,2,100,particulier,0
19754.0,15,4,2175,marchand,0
5554.0,11,3,2120,particulier,0
12651.0,13,5,1715,marchand,0
12095.0,13,5,2214,marchand,0
18790.0,22,3,431,agent,0
1242.0,20,4,1440,particulier,0
4167.0,10,0,1438,particulier,0
12225.0,15,14,1661,marchand,0
14400.0,11,8,273,marchand,0
6595.0,20,1,1714,particulier,0
1371.0,19,3,1290,agent,0
1103.0,20,4,1346,agent,0
2684.0,16,3,940,particulier,0
3834.0,11,2,821,particulier,0
5820.0,21,3,797,agent,0
8792.0,23,2,1859,particulier,0
30931.0,18,4,2326,particulier,0
5354.0,21,2,2255,particulier,0
946.0,20,1,235,agent,0
2094.0,21,3,1155,particulier,0
13889.0,8,3,2160,particulier,0
2111.0,18,4,1760,particulier,0
2519.0,17,6,635,particulier,0
4522.0,7,3,1099,particulier,0
3601.0,23,2,2201,particulier,0
5969.0,22,2,1567,particulier,0
8980.0,23,4,1103,agent,0
1845.0,15,3,891,particulier,0
2299.0,19,2,547,particulier,0
4580.0,18,3,287,particulier,0
