montant,heure,frequence_7j,anciennete_jours,type_contrepartie,fraude
4268.0,17,2,532,particulier,0
1361.0,10,1,909,particulier,0
6235.0,22,1,586,particulier,0
7328.0,8,4,1393,agent,0
627.0,8,4,283,particulier,0
1089.0,8,3,54,particulier,0
3673.0,22,4,1615,particulier,0
2518.0,20,3,1334,particulier,0
3248.0,12,1,1933,particulier,0
1595.0,17,3,250,particulier,0
6957.0,23,3,923,particulier,0
6381.0,8,5,1002,agent,0
3485.0,9,4,721,facture,0
8588.0,6,3,626,particulier,0
4902.0,18,5,1990,agent,0
1587.0,22,3,1759,particulier,0
4507.0,9,4,677,particulier,0
1458.0,21,2,1153,agent,0
6951.0,21,5,375,particulier,0
3158.0,20,3,1330,facture,0
2815.0,19,6,1801,particulier,0
1847.0,21,3,722,particulier,0
9313.0,8,5,38,particulier,0
2889.0,18,5,476,particulier,0
2289.0,23,4,225,particulier,0
2442.0,9,6,1433,particulier,0
5179.0,14,4,1277,particulier,0
4495.0,8,4,582,particulier,0
4679.0,9,1,1265,agent,0
4751.0,23,1,237,particulier,0
20341.0,22,2,1207,particulier,0
2332.0,18,4,286,particulier,0
2132.0,22,2,560,particulier,0
1650.0,9,1,877,particulier,0
5561.0,7,2,1441,particulier,0
8601.0,19,2,1712,particulier,0
2990.0,17,9,455,particulier,0
1613.0,5,2,1044,particulier,0
1635.0,20,3,1470,facture,0
5727.0,20,0,2177,particulier,0
6197.0,21,3,463,particulier,0
5227.0,19,7,174,particulier,0
1871.0,20,4,495,particulier,0
4013.0,21,3,372,particulier,0
3638.0,19,6,238,particulier,0
3967.0,19,3,203,particulier,0
6910.0,20,6,958,particulier,0
3984.0,21,3,817,particulier,0
5867.0,22,4,1384,particulier,0
3489.0,22,2,298,facture,0
4212.0,9,2,680,agent,0
5634.0,5,3,1806,particulier,0
955.0,21,4,136,particulier,0
2511.0,20,3,580,particulier,0
2209.0,18,4,1318,agent,0
1914.0,23,4,252,agent,0
2607.0,8,5,776,particulier,0
11739.0,7,2,608,particulier,0
1578.0,21,2,531,particulier,0
7503.0,21,0,2150,agent,0
788.0,23,1,1765,particulier,0
2478.0,20,0,1615,agent,0
3783.0,22,4,1469,facture,0
5422.0,21,5,1764,particulier,0
6030.0,23,3,1705,particulier,0
6466.0,10,2,261,facture,0
2449.0,8,4,921,agent,0
2224.0,23,5,1865,facture,0
6831.0,12,4,1040,particulier,0
2800.0,9,0,1528,particulier,0
1114.0,20,4,1335,particulier,0
1257.0,4,6,397,particulier,0
1508.0,9,5,928,particulier,0
5027.0,19,2,1189,facture,0
3718.0,17,6,1316,particulier,0
5925.0,19,3,1373,agent,0
2291.0,11,0,221,particulier,0
3770.0,8,5,1019,particulier,0
5607.0,23,1,225,particulier,0
2533.0,22,4,210,particulier,0
4857.0,17,4,1238,particulier,0
1877.0,13,3,1027,agent,0
2420.0,20,2,447,particulier,0
2382.0,23,2,1126,particulier,0
1192.0,19,3,418,particulier,0
4984.0,8,3,1654,particulier,0
2211.0,23,4,1636,facture,0
3330.0,19,2,1049,particulier,0
4957.0,18,3,120,particulier,0
4815.0,21,4,1065,particulier,0
5800.0,20,3,1069,agent,0
3030.0,19,6,700,particulier,0
2299.0,5,1,1192,particulier,0
3079.0,18,5,1820,particulier,0
785.0,19,0,1837,particulier,0
963.0,20,4,797,particulier,0
1070.0,16,2,104,facture,0
1411.0,23,2,1355,particulier,0
4628.0,17,1,281,particulier,0
1526.0,18,8,2178,agent,0
2389.0,23,3,179,particulier,0
9940.0,10,3,1045,particulier,0
2434.0,21,1,812,particulier,0
6167.0,16,3,1655,particulier,0
1490.0,7,2,388,particulier,0
2767.0,20,3,1206,particulier,0
1469.0,9,5,1859,agent,0
2470.0,23,4,1990,facture,0
6730.0,23,2,1338,agent,0
759.0,7,2,1658,agent,0
4766.0,19,5,641,particulier,0
4032.0,5,4,525,particulier,0
1988.0,19,5,1295,agent,0
964.0,14,3,1947,agent,0
3503.0,18,1,2171,particulier,0
2101.0,15,5,673,particulier,0
4015.0,20,4,1789,agent,0
3356.0,12,7,5,particulier,0
12855.0,17,5,134,particulier,0
2688.0,10,1,622,particulier,0
1380.0,17,4,296,particulier,0
3837.0,20,5,1977,agent,0
3972.0,18,4,1575,particulier,0
10460.0,23,1,853,agent,0
6700.0,21,4,1242,particulier,0
4462.0,11,2,248,particulier,0
11428.0,9,3,1424,particulier,0
1199.0,23,6,141,particulier,0
1913.0,21,2,752,particulier,0
1499.0,19,4,331,facture,0
2365.0,23,1,929,particulier,0
1022.0,12,0,1235,particulier,0
5653.0,19,2,134,particulier,0
2727.0,17,5,130,particulier,0
944.0,16,4,1374,particulier,0
1390.0,12,2,752,particulier,0
4301.0,10,4,2035,particulier,0
6717.0,5,6,1191,agent,0
17984.0,20,3,608,agent,0
39214.0,23,4,1905,agent,1
4686.0,22,2,346,particulier,0
1421.0,11,3,867,particulier,0
538.0,23,5,277,facture,0
4136.0,9,5,1300,agent,0
1651.0,17,4,1397,particulier,0
2314.0,22,5,1084,agent,0
1958.0,20,3,1781,agent,0
2923.0,20,3,576,particulier,0
8153.0,11,2,240,particulier,0
3765.0,12,2,1734,particulier,0
2879.0,19,1,2003,particulier,0
1366.0,23,5,1185,particulier,0
794.0,8,5,2137,particulier,0
2179.0,15,3,171,particulier,0
3147.0,13,5,603,agent,0
14805.0,10,9,371,particulier,0
3680.0,20,0,492,agent,0
7596.0,22,4,936,particulier,0
2155.0,20,2,1037,particulier,0
1203.0,19,3,715,particulier,0
1450.0,7,2,633,particulier,0
1779.0,23,4,1407,particulier,0
20115.0,18,1,1864,particulier,0
1639.0,22,3,1526,facture,0
6719.0,7,2,2149,particulier,0
1529.0,22,4,859,particulier,0
7272.0,17,6,1567,particulier,0
4570.0,11,1,462,agent,0
2884.0,20,4,636,agent,0
3182.0,21,4,102,particulier,0
1888.0,23,2,1728,particulier,0
4813.0,19,6,1619,facture,0
2238.0,8,1,172,particulier,0
1162.0,8,4,322,particulier,0
1112.0,9,1,1583,particulier,0
3815.0,9,1,2012,particulier,0
12610.0,21,3,1412,particulier,0
3774.0,19,5,1115,particulier,0
2978.0,6,3,424,particulier,0
4200.0,22,3,420,particulier,0
9998.0,9,1,60,particulier,0
3970.0,18,2,2125,particulier,0
2323.0,20,4,2123,particulier,0
8437.0,12,1,535,particulier,0
4743.0,11,1,333,particulier,0
12154.0,19,2,1881,agent,0
3850.0,19,5,305,particulier,0
1164.0,17,2,1490,particulier,0
1030.0,18,4,140,facture,0
13404.0,9,1,305,particulier,0
14259.0,19,6,663,particulier,0
2828.0,12,4,1821,agent,0
2379.0,17,2,1627,particulier,0
11410.0,20,2,1879,agent,0
1286.0,12,7,1807,particulier,0
1540.0,23,6,1977,particulier,0
5692.0,23,8,1774,particulier,0
2356.0,19,2,64,particulier,0
3280.0,6,0,1994,particulier,0
2867.0,23,1,1513,facture,0
4389.0,22,5,296,particulier,0
10898.0,5,3,1692,particulier,0
3558.0,10,1,1483,particulier,0
5695.0,16,4,1402,agent,0
577.0,23,1,480,particulier,0
3161.0,20,2,1855,particulier,0
1609.0,7,3,1973,particulier,0
1169.0,4,1,1113,agent,0
1562.0,10,2,1207,particulier,0
2480.0,8,3,1380,particulier,0
7176.0,19,1,372,agent,0
1067.0,18,0,1293,agent,0
3381.0,10,5,1665,agent,0
2183.0,10,7,1671,particulier,0
2494.0,9,3,1797,facture,0
7726.0,19,2,62,agent,0
5205.0,9,4,59,agent,0
10268.0,8,3,820,particulier,0
2889.0,9,3,96,facture,0
1823.0,17,6,534,particulier,0
2724.0,23,2,759,particulier,0
4049.0,9,1,803,agent,0
3828.0,8,5,1484,particulier,0
1311.0,20,3,1641,particulier,0
3558.0,18,4,761,agent,0
4000.0,10,7,2185,particulier,0
27997.0,10,4,395,agent,1
16241.0,20,0,1696,agent,0
1595.0,20,3,314,particulier,0
2580.0,17,2,495,agent,0
950.0,19,3,1875,particulier,0
1994.0,23,1,289,agent,0
4308.0,21,3,1851,particulier,0
9182.0,21,3,400,particulier,0
1773.0,19,5,635,agent,0
1889.0,17,3,424,particulier,0
531.0,8,2,236,particulier,0
2869.0,15,2,1662,particulier,0
1335.0,8,2,938,particulier,0
